"","id","id_spp","id_process","E_sch","E_SE_sch","lnB0_sch","lnB0_SE_sch","lnB0Bug","E_D_sch","E_D_SE_sch","T_h_sch","T_h_SE_sch","T_pk_sch","P_pk_sch","P_pkBug","AIC_sch","r_sq_sch","AftPk","BefPk","MinVal","B0_renorm10"
"1","MTD3144","Zostera marina","net photosynthesis",0.589346885108523,0.165040915955325,8.75334189325483,6.83690554208325,FALSE,1.77445875259928,1.18190347512082,300.572950760134,2.62704716288641,298.15,-14.4287560011896,FALSE,6.2954028811326,0.920081332644622,2,5,NA,2.05033479198548e-07
"2","MTD3159","Cladophora glomerata","gross photosynthesis",1.28284046092603,7.18004362554511,60.3883592983702,306.335457402154,TRUE,1.28291386670403,7.09536055185715,350,81889.091661073,308.15,8.08143881355915,TRUE,22.2621635614122,0.573359738233538,1,5,NA,1425.48047729194
"3","MTD3160","Cladophora glomerata","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA
"4","MTD3162","Cladophora glomerata","gross photosynthesis",0.407253421535846,0.233816458621274,24.448221001891,9.71201275776933,FALSE,1.4950704441725,2.30472208406284,301.687606458332,4.4363117676208,303.15,8.46199131076746,FALSE,8.77938656373509,0.777701608504925,1,6,NA,2330.90176280747
"5","MTD3163","Cladophora glomerata","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA
"6","MTD3165","Cladophora glomerata","gross photosynthesis",3.29341046052104,0.987766978822549,146.595483779377,41.5749931911433,FALSE,3.87910431540776,0.931920819039122,283.620486293187,1.75965928229882,283.15,9.98982744564972,FALSE,11.4458931892806,0.796488484241617,4,3,NA,21803.5361785891
"7","MTD3166","Cladophora glomerata","net photosynthesis",0.913108096676279,0.863874021517478,48.0715441935295,36.4900361982506,TRUE,1.6103927243315,0.539265128633435,285.450038262077,3.81569806869693,283.15,10.0899117521647,TRUE,8.7569088455441,0.803826720525332,3,3,NA,24098.6656846711
"8","MTD3168","Cladophora glomerata","gross photosynthesis",0.300042167993341,0.225221122880619,21.5962017905332,9.16715318509708,FALSE,5.05873846866321,4.72762142773743,300.444989635556,5.45094897393398,298.15,9.90772848147083,FALSE,19.5394675676532,0.348229281822538,4,3,NA,10972.9114291455
"9","MTD3169","Cladophora glomerata","net photosynthesis",2.60544100691271,2.00607329856955,118.917508629876,84.8715129824657,TRUE,2.72907483706068,1.88294150373273,284.580809703957,4.50953481126693,283.15,9.60425051367255,TRUE,7.79469669104108,0.574031402155086,3,3,NA,14827.6730373424
"10","MTD3171","Cladophora glomerata","gross photosynthesis",4.54811738569555,2.1292147830006,199.939792404051,89.8968732486903,FALSE,4.77190366794517,2.0563250592475,282.361947269226,2.7274750575819,283.15,10.0135011165461,FALSE,16.10584591665,0.480637297433811,1,6,NA,22325.8642353671
"11","MTD3172","Cladophora glomerata","net photosynthesis",1.6787484999026,0.702886671687484,80.1622087401065,29.8109364829645,TRUE,1.73648440880498,0.617791458011527,290.900744054691,4.04985582996354,293.15,9.80723026048079,TRUE,-6.30493890282922,0.917561363054227,0,6,NA,16346.8699068295
"12","MTD3174","Cladophora glomerata","gross photosynthesis",1.8932073504619,0.675845067708984,87.789710019883,28.2918596599684,FALSE,2.67338693130435,0.561860212349175,288.339322411244,2.65747769019732,288.15,10.3870701819151,FALSE,16.0448242050395,0.686302152280707,3,4,NA,20578.8532981885
"13","MTD3175","Cladophora glomerata","net photosynthesis",1.0757918951412,0.587853857113479,55.9246620571137,25.0615219939667,TRUE,1.25990845493107,0.482657743005475,286.81714665592,2.33903661272617,288.15,10.4854728703981,TRUE,-10.986613472773,0.895174429153374,4,2,NA,34792.404304589
"14","MTD3177","Cladophora glomerata","gross photosynthesis",17.3641770321497,0.00372390019496512,743.791835099569,0.225781206089331,TRUE,17.50447366621,0.00509888206082665,276.374634926849,0.0518789851692359,278.15,10.0679793288818,TRUE,10.8367994090358,0.509070642358875,2,4,NA,21262.794255147
"15","MTD3178","Cladophora glomerata","net photosynthesis",0.372263197352722,0.0896253524224044,25.7288452121115,3.77097365611472,TRUE,1.41466141565922,0.133779828892025,288.334418069309,0.943425000907206,288.15,10.4456089339679,TRUE,-15.742822616601,0.975405801801702,3,3,NA,31515.4240000191
"16","MTD3180","Cladophora glomerata","gross photosynthesis",0.645673340517214,0.0668791364157363,37.0309614637915,2.80097890057026,TRUE,1.86274291713973,0.0699285251595989,288.421412229552,0.49615073729313,288.15,10.634430351801,TRUE,-17.3006714262203,0.992484248994355,3,3,NA,34667.586285423
"17","MTD3181","Cladophora glomerata","net photosynthesis",0.090445396661516,0.115518059351276,13.8733255439079,4.73973221069462,TRUE,5.18625515315224,1.68748924625091,293.611393037346,2.16310405259352,293.15,10.2813240015985,TRUE,4.06903537983598,0.810666657214695,3,3,NA,26047.6134970024
"18","MTD3276","Porphyra perforata","net photosynthesis",0.637984873624376,0.127066750768883,12.7256362115541,5.12925745982634,FALSE,5.26427779700702,1.30100329546745,299.466897234437,1.09305160896017,298.17016,-12.1517401159085,FALSE,6.12621021888683,0.807514172132555,3,4,NA,1.49524676763556e-06
"19","MTD3277","Koliella antarctica","gross photosynthesis",0.382548523452394,0.0172230085914259,0.0916634502420226,0.697632078933212,FALSE,3.25529711503877,0.344802241276238,301.450338766531,0.45001412651934,303.15,-14.7857544628232,FALSE,-24.3811112880234,0.994547334621774,2,4,NA,1.7097331116652e-07
