"NPMin5","NPMin2","NPPeak","NP2","NP5","RMin5","RMin2","RPeak","R2","R5","CUEMin5","CUEMin2","CUEPeak","CUE2","CUE5","TpkNP","TpkR","TpkNP_SD","TpkR_SD","TpkRealNP","TpkRealR","ENP","ER","B0R","B0NP","ID_R","ID_NP","B0_NP_MeanT","B0_R_MeanT","B0_NP_MinT","B0_R_MinT","V32","c","E","MP"
"1.63174086093615","1.7142021760242","1.74922241793971","1.71501619111882","1.61831541150243","1.09049251647866","1.11283171806376","1.13759648668966","1.16234656385137","1.18281418057728","0.599412553851554","0.606360673499185","0.605934239634712","0.596037530602077","0.577736715958543","27.422950760134","35.810741206956","2.62704716288641","39.3405110199976","25","35",0.589346885108523,0.718085822071673,"2.64823178858305e-08","2.05033479198548e-07","MTD3145","MTD3144","2.51647356008829e-07","3.41935156527236e-08",8.528495269545e-08,9.03887916513538e-09,"Aq",9.43534603542547,1.21844339932236,NA
"Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","NaN","NaN","NaN","NaN","NaN","15.184418069309","76.85","0.943425000907206","453482427.376672","15","35",0.372263197352722,0.451469568633217,"3086.95814924965","31515.4240000191","MTD3164","MTD3178","29100.1510085919","2661.85877641318",21110.9581739442,1681.94057811717,"Aq",12.5515481632393,1.21276981405564,NA
"568.932620531913","1103.18620830376","1472.45681476789","1089.45710287174","499.630224222886","2.81457396853524","3.11858674257366","3.38601503457645","3.58999161153921","3.72981527666135","0.995077240438417","0.997181078165314","0.997705707568448","0.996715611221458","0.9925901641291","23.391261165386","76.85","2.76274062418094","267934.611472893","25.773067","31.829033",0.621374368530594,1.38209285475326,"5.06160252120694e-07","3.47132284372727e-06","MTD3329","MTD3327","3.71355996053922e-06","5.58844700458061e-07",1.65800952628984e-06,1.33465469632251e-07,"Aq",12.4227602154947,2.2242514734259,NA
"12.5989241714264","15.3490868835444","16.758376469055","15.1516444318022","10.8882585908122","1.74721877118695","1.81045124186405","1.85430965007403","1.88357863117097","1.90267022860707","0.878209859041829","0.894493008574439","0.900373882726778","0.889430351207727","0.85124847026602","24.671313398104","70.754900953042","1.93964748217863","120393.241253847","26.030497","31.882786",0.36887372580763,1.44550563631832,"2.88362174926083e-07","1.61571853713199e-06","MTD3330","MTD3328","1.6999542368696e-06","3.21709459247273e-07",1.03899592603127e-06,7.89724364327925e-08,"Aq",13.1564375238123,3.9187004527185,NA
"1.00286631479314","1.00521411058334","1.00658079559843","1.00523228037162","1.00317654842754","1.00043320088881","1.00078662139622","1.00141405369251","1.00251736628087","1.00444007708785","0.500607276616724","0.50110356120926","0.501286542619304","0.500676108720844","0.499685316249065","20.206775135824","34.484030116774","0.919522319680675","969754.597792613","20.981674","29.979961",2.26968439682602,1.71648071040408,"1.20627353181512e-10","5.62611664986554e-10","MTD3368","MTD3363","3.97206697195421e-09","5.835157485237e-10",1.06642917382313e-09,1.96680494021017e-10,"Aq",5.4221399998577,0.756264048342777,NA
"1.00731635744759","1.0079624092883","1.00822130144514","1.00788143591513","1.00690228543721","1.00145347422433","1.00188758940317","1.00244069441944","1.0031425216187","1.00402917342519","0.501459321802532","0.501511262006888","0.50143748850816","0.501178234172367","0.500714373431118","23.604655639538","33.808727889351","0.714959598865383","109.640861504383","24.049","30.11344",0.452772771204196,0.769287580493652,"5.71549482569443e-10","4.52577980656852e-09","MTD3369","MTD3364","6.61611923685063e-09","1.16353754322564e-09",5.12821654481746e-09,7.13872952894689e-10,"Aq",7.1836543519726,1.6990588423585,NA
"1.01111883452794","1.01804164645352","1.02383512638179","1.0141484363428","1.00412499204514","1.00462070832035","1.00929731686405","1.01839588771881","1.03237692389025","1.04425670114232","0.501611846686901","0.502156602755555","0.501331690348797","0.495546478948747","0.490204045166325","22.97533906607","31.583095694108","0.95032346608342","3.42851327928418","23.994951","29.977608",1.56074561946295,1.91325256818523,"4.27397361775043e-10","1.90092228564153e-09","MTD3370","MTD3365","8.05202267201697e-09","2.50674420236091e-09",3.01971408858246e-09,7.53630739764537e-10,"Aq",4.00688816054124,1.22585804139151,NA
"1.00764752226325","1.01336934033841","1.01718164931003","1.01320265197668","1.00745287088038","1.00497551337474","1.00635354112893","1.00816336413682","1.01041442997738","1.01284193910446","0.500663812557345","0.501736822232857","0.502226357759624","0.500688920355576","0.498666266874159","21.885639639801","31.080392920174","1.04167330664056","7.42083112015723","21.057571","29.136196",2.09024020882038,0.649110187406511,"2.47022771624366e-09","1.02887203368521e-09","MTD3371","MTD3366","6.88166533171421e-09","4.5069765609577e-09",1.89718402963687e-09,2.98873606336586e-09,"Aq",0.634778043097019,0.310543345529093,NA
"3.00146540406737","3.47687387338815","3.93271806154021",NA,NA,"1.35085152598393","1.50616368633088","1.04779552296251",NA,NA,"0.689624733746582","0.697741855589022","0.789620988842835",NA,NA,"65.841522254634","34.166744062006","1651.29775079245","71137.1459159047","32.896908","34.883904",1.20781093287058,0.752785098590624,"4.19894096585136e-08","1.23577718898035e-07","MTD3383","MTD3382","8.81055248995599e-07","2.10130207012664e-07",4.00956555100815e-07,9.80955329436114e-08,"Aq",4.08740890710384,0.623264020968493,NA
"1.00005987428234","1.00006556742842","1.00006741780208","1.00006574861452","1.00006160567023","1.00000759327804","1.000009220219","1.00001077563228","1.0000119014957","1.00001218754244","0.500013069810182","0.500014086275616","0.500014159988841","0.50001346125707","0.500012354076124","25.497039854929","29.954957028147","0.78911725530031","2.1655949142921","24.998959","29.924301",1.05575250106474,0.724236008891336,"2.74501695140811e-12","2.09921485772913e-11","MTD3400","MTD3397","5.78198075732811e-11","7.18385843530669e-12",2.06392252130073e-11,2.70966883844912e-12,"Aq",7.61688104470367,0.685990332166805,NA
