"","id","id_spp","id_process","E_sch","E_SE_sch","lnB0_sch","lnB0_SE_sch","lnB0Bug","E_D_sch","E_D_SE_sch","T_h_sch","T_h_SE_sch","T_pk_sch","P_pk_sch","P_pkBug","AIC_sch","r_sq_sch","AftPk","BefPk","MinVal","B0_renorm10"
"1","MTD2111","Fagus sylvatica","Surface Area-Specific Maximum Photosynthesis Rate",0.32679175451979,0.0192924186250091,8.09676934208429,0.799038425015708,FALSE,1.72572494732616,0.654753729288184,306.868193105618,0.813759541435035,303.15,-4.50867554678989,FALSE,-21.3016365235832,0.992833606500722,1,6,NA,0.00502569375574552
"2","MTD2113","Betula pendula","Surface Area-Specific Maximum Photosynthesis Rate",0.595390967886357,0.0901869025002297,19.0724863772512,3.76244685571386,FALSE,1.56086793083612,0.85831954257992,306.645277747534,2.25220078006818,308.15,-3.94257458254249,FALSE,1.2065076632452,0.989176717988507,2,4,NA,0.00486427854467088
"3","MTD2115","Eucalyptus regnans","Surface Area-Specific Maximum Photosynthesis Rate",0.85902766427451,0.562193803284282,33.6276709049372,23.6330897190421,FALSE,0.863673086850977,0.465648821831166,327.609933509541,201.254301709894,308.15,-2.03734053641524,FALSE,-25.4835255629049,0.99186701570499,1,4,NA,0.0828105348262908
"4","MTD2116","Eucalyptus regnans","Surface Area-Specific Maximum Photosynthesis Rate",0.352776517776225,1658.78323876542,7.44323820577447,708039.17882795,FALSE,0.00515961193675558,3345.29826799538,350,1509.14959130335,308.15,-1.06490629035986,FALSE,21.2340133028901,-34.3520113535333,0,5,NA,0.0356480775511391
"5","MTD3134","Pueraria lobata","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
"6","MTD3135","Pueraria lobata","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
"7","MTD3140","Citrus limon","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA
"8","MTD3141","Gossypium barbadense","net photosynthesis",0.221869478156847,0.0702683711229443,-2.00637253342956,2.8166055271416,FALSE,0.900195547490002,0.0759507209025372,304.06339806159,0.303593234888397,303.15,-10.7553175727482,FALSE,-52.0511441794606,0.996090469050437,4,3,NA,1.47815624878267e-05
"9","MTD3142","Gossypium barbadense","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA
"10","MTD3143","Gossypium barbadense","net photosynthesis",0.853901223769944,2.23239487599752,23.0866611185013,87.1020161345644,FALSE,1.78217687130622,0.499217386428992,306.983689274071,2.40847925874423,305.969344,-9.84075693854698,FALSE,-15.7541616293465,0.380114504731754,6,4,NA,6.77911540962552e-06
"11","MTD3146","Cenchrus ciliaris","net photosynthesis",0.341899991474907,0.0160201320354265,10.5538058149937,0.637411706743874,FALSE,1.26897766523471,0.046470256585657,312.617923227182,0.46906629163043,312.883654,-2.44783745104241,FALSE,-50.2443807511212,0.988513907082031,4,9,NA,0.0315271469166415
"12","MTD3148","Calopogonium mucunoides","net photosynthesis",0.301308836631407,0.0348873520173924,8.69401877157148,1.41218077178543,FALSE,1.05799192774966,0.0769045184083517,306.098940235006,0.65441830811801,306.901915,-3.06168881869826,FALSE,-52.7087398263645,0.956540463612126,8,7,NA,0.0255729828506577
"13","MTD3156","Deschampsia antarctica","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA
"14","MTD3157","Larrea tridentata","net photosynthesis",0.392622522227091,0.0677806167227158,5.08435711676447,2.77900510767632,FALSE,1.2093470865123,0.109447487729072,301.53143486427,1.09488782420876,301.152329,-10.4140588121344,FALSE,-17.0292032647145,0.982798016177956,3,3,NA,1.629024556844e-05
"15","MTD3158","Spinacia oleracea","gross photosynthesis",0.182821206958953,0.0944950016171253,-7.65350517284589,3.73502074302278,FALSE,3.31872098865742,0.488412407916529,299.736543684851,0.880005013865952,300.119696,-14.7867696811224,FALSE,-11.9875975492497,0.945176025555492,9,2,NA,2.64904226353602e-07
"16","MTD3186","Picea sitchensis","net photosynthesis",2.48088092749368,1.25436237409255,99.8147191906066,54.3908659634645,FALSE,2.48097962439831,1.38781472339101,306.237597612909,6484.63203953671,300.4403,-4.29854135823602,FALSE,2.99307903520796,0.973575677291789,1,4,NA,0.0125333380286571
"17","MTD3187","Picea sitchensis","net photosynthesis",2.6590189233212,0.358964202353556,106.809607753299,15.6876477916859,FALSE,2.65909114289384,0.526695481474309,305.910671300322,11153.6883108405,300.151339,-4.54119587294305,FALSE,6.53158220587267,0.991908254932921,1,4,NA,0.00978384119231791
"18","MTD3188","Picea sitchensis","net photosynthesis",3.02972810037065,1.00594522289742,123.56414026784,43.4974986142966,FALSE,3.0298829944389,0.993904257156365,297.861261715664,1411.19563934909,300.388726,-4.31726842441614,FALSE,-1.31279964666324,0.983183483434962,1,4,NA,0.0130348682825431
"19","MTD3189","Picea sitchensis","net photosynthesis",2.27119059546971,0.502241255902168,90.3706160965387,21.6346932614486,FALSE,2.2714175698635,0.422780747569843,307.174842239424,2905.80985203917,300.807572,-4.61578309969248,FALSE,3.18436203120272,0.958473938432804,1,4,NA,0.00865293562891091
"20","MTD3190","Picea sitchensis","net photosynthesis",1.84713212977755,0.32612645600676,72.153941522762,13.9702928805876,FALSE,1.86848029345964,0.24142048428312,297.158503013356,30.056943795279,300.833605,-4.4325621401124,FALSE,-0.845560460667407,0.975908825547189,1,4,NA,0.00881049901619321
"21","MTD3191","Picea sitchensis","net photosynthesis",2.00584629951555,0.526522639145433,79.1392453980715,22.7511143564804,FALSE,2.00593018993281,0.604541487648809,317.869966279133,6665.91651645386,300.860358,-4.15029153772819,FALSE,-3.25144064638125,0.983405081480384,1,5,NA,0.0118729446521976
"22","MTD3192","Picea sitchensis","net photosynthesis",1.0135872113815,0.19344881511837,35.6335370482886,8.23674394406679,FALSE,1.5910964088648,0.163464281246768,289.094791242863,1.35170090785949,287.330181,-6.0719250335179,FALSE,-2.70491739752157,0.920184470332584,2,4,NA,0.00188828526346535
"23","MTD3193","Picea sitchensis","net photosynthesis",1.7619200544123,0.245130630930395,68.3530287256993,10.5481413529231,FALSE,1.76260136651476,0.154569337149741,314.948640992844,1381.35898356643,299.461054,-4.41379164251858,FALSE,-2.16589847265426,0.998052327943698,1,7,NA,0.00782335090865039
"24","MTD3194","Picea sitchensis","net photosynthesis",1.16512692646552,0.0646890299115588,41.4817884203139,2.74034044383896,FALSE,2.34891349407621,0.112959381630317,288.162312870108,0.475387370110412,287.784214,-6.11141606981251,FALSE,-10.9903103395577,0.994177849795866,2,2,NA,0.00162224420810923
"25","MTD3195","Picea sitchensis","net photosynthesis",0.895329159834106,0.00337679324672957,31.9832731302451,0.142878682125973,TRUE,1.43464722814871,0.00164931352441418,289.857497815263,0.0160167980664394,287.853349,-4.84799250388501,TRUE,-52.8390132235465,0.999996586249819,2,2,NA,0.00638308703315913
"26","MTD3196","Picea sitchensis","net photosynthesis",2.84494283885031,0.273163296747514,113.904415820727,11.7304810015244,FALSE,2.98509073262668,0.231965056562106,285.366102781914,1.30150836069652,285.46448,-4.80917203280336,FALSE,-2.71479538749059,0.968432024632213,1,3,NA,0.00793617568434376
"27","MTD3197","Picea sitchensis","net photosynthesis",0.0553350496504534,0.216633659895311,-5.63538724507937,8.84757045011342,TRUE,15.9398563434765,46.8963847073844,290.904641651555,4.56882616308258,291.675272,-7.854761512831,TRUE,2.38604090868046,0.498204288001019,2,2,NA,0.000369811368341238
"28","MTD3198","Picea sitchensis","net photosynthesis",2.50928689449172,0.292122442897702,101.722969094741,12.6153894182967,FALSE,2.52968657967244,0.272085818672781,286.721286200589,6.2867882432928,285.350588,-4.62587054611819,FALSE,-10.0144636400254,0.992319681817168,2,5,NA,0.00970268014473581
"29","MTD3199","Picea sitchensis","net photosynthesis",1.64302477419807,0.453909972419902,64.8184482364273,19.5513168609158,FALSE,1.76167354968971,0.387595569505152,285.045666045787,2.1281759137388,289.2333,-4.77347079643114,FALSE,-5.80771402292055,0.959224489917706,2,3,NA,0.00859686645641097
"30","MTD3200","Picea sitchensis","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
"31","MTD3201","Picea sitchensis","net photosynthesis",3.35251642228104,0.737965011508137,137.388511657183,31.7706812186037,FALSE,3.78573578372142,0.724984725174524,278.865455843588,1.60630137535466,283.044552,-4.40254397722569,FALSE,7.82830344395857,0.798207561316219,2,3,NA,0.0121739621987888
"32","MTD3202","Picea sitchensis","net photosynthesis",7.52079644807743,0.567970369689048,314.681684662853,24.4013974297089,FALSE,7.7161149175941,0.543387256638843,276.446800895557,0.43763709023338,283.044552,-4.76600084456578,FALSE,-0.120953445121753,0.939590908145668,1,4,NA,0.00848902942497426
"33","MTD3203","Picea sitchensis","net photosynthesis",1.64796495164335,0.170267508112014,63.868690711764,7.28175252075615,FALSE,1.93138741310754,0.116915838936354,287.840611074651,0.910196609530741,292.727465,-4.54662573450081,FALSE,-6.68201120299124,0.983448694328115,1,4,NA,0.0099911647263208
"34","MTD3204","Picea sitchensis","net photosynthesis",2.69511884874624,0.474048845509442,108.811911372854,20.3711128990811,FALSE,2.85160210010559,0.43125148315088,282.082198572723,1.52930169672183,283.431691,-4.93726449668057,FALSE,0.277687216425765,0.925401769424598,2,4,NA,0.00719158693972108
"35","MTD3205","Picea sitchensis","net photosynthesis",3.78471864475702,0.0354266190025825,155.531084722482,1.58388573453863,FALSE,3.7847477934155,0.0521808108271702,295.377391329853,5545.337238936,292.985754,-4.88758676865172,FALSE,0.7139458377141,0.906000763124156,1,5,NA,0.00750463895926261
"36","MTD3206","Picea sitchensis","net photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
"37","MTD3207","Picea sitchensis","net photosynthesis",2.88845266609174,0.303331791688744,117.804074138683,13.0731295629953,FALSE,2.93890668459531,0.282875427040931,282.797226828019,1.58823052736898,283.133444,-4.75113353100114,FALSE,-9.35188127118245,0.968255241689171,1,5,NA,0.00864175339892636
"38","MTD3208","Picea sitchensis","net photosynthesis",3.3984406657736,0.697617161336593,138.952125025918,30.0569971215971,FALSE,3.61656565714092,0.644272664058468,279.230913605577,1.52258695641558,277.9939903,-5.06318308370709,FALSE,4.42140406168695,0.855469422436418,2,3,NA,0.00598247600172537
"39","MTD3209","Vitis vinifera","net photosynthesis",0.37796621146603,0.104846742290002,9.74048117619129,4.22318024254352,FALSE,2.43961937319586,0.495368332178755,303.191407539065,2.03462405214492,303.15,-4.8898787955467,FALSE,4.63937965122615,0.820914026274185,4,4,NA,0.00319743624125231
"40","MTD3210","Vitis vinifera","net photosynthesis",0.0939301642116587,0.0109251609252996,-1.30784195749175,0.429699833624066,FALSE,2.7149421921084,0.0754175252237394,303.459670145951,0.243277346708385,303.15,-4.93408023814406,FALSE,-34.4617935417749,0.998764729297482,3,3,NA,0.00576314378014448
"41","MTD3211","Quercus pubescens","net photosynthesis",6.96625267445616e-13,8.07878387778484e-07,-11.4213768893652,0.0835350491308108,FALSE,3.85237042666937,1.26590400263243,259.751709705824,1750839.61910811,298.15,-11.4221361661276,FALSE,-4.76091412783795,0.977837076123685,4,0,NA,1.09586971163394e-05
"42","MTD3212","Quercus pubescens","net photosynthesis",6.45492681499119e-08,0.0841204375938697,-11.4064981371857,3.21664246266406,FALSE,4.25455306039265,1.45388860087578,280.890509315835,2083241.1978458,298.15,-11.4068974365792,FALSE,4.52288425370386,0.951972083098069,8,0,NA,1.11229408020396e-05
"43","MTD3213","Triticum sativum","net photosynthesis",0.469986089857836,0.111298129788713,12.9516707933919,4.60574760823721,FALSE,1.48113171668345,0.210975271838896,297.552388087425,1.97099993570804,298.97853,-5.76227579230615,FALSE,-3.55032843049083,0.916067439930259,2,4,NA,0.00178479266972115
"44","MTD3214","Triticum sativum","net photosynthesis",0.583639996125397,0.101232165027599,17.5939188010164,4.17748569092594,FALSE,1.51825464707045,0.208418562929556,300.220762814514,1.72621902282294,298.94521,-5.45114219338586,FALSE,-4.18785281471715,0.93156796541419,1,5,NA,0.00177069480984241
"45","MTD3215","Solanum tuberosum","net photosynthesis",0.235537793493456,0.105173873852525,-20.8489879991771,4.19579645701777,FALSE,2.39349112494584,0.150369154521558,295.076063654262,0.614161177264697,293.21412,-30.2262849449549,FALSE,-17.2880233957148,0.997340293762098,2,2,NA,5.66848405327765e-14
"46","MTD3216","Coffea arabica","net photosynthesis",0.875453202702207,0.169779335871554,39.2924745866347,6.78087766983144,FALSE,2.22222654846757,0.125651884523451,298.576027064014,0.524001266536231,299.555798,4.76697413132543,FALSE,-11.7211970396951,0.990679317021663,5,2,NA,30.5218397926019
