,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref,ConKingdom_len,ConKingdom_ES,ConKingdom_ES_max,ConKingdom_ES_min,ConKingdom_ES_median,ConPhylum_len,ConPhylum_ES,ConPhylum_ES_max,ConPhylum_ES_min,ConPhylum_ES_median,ConClass_len,ConClass_ES,ConClass_ES_max,ConClass_ES_min,ConClass_ES_median,ConOrder_len,ConOrder_ES,ConOrder_ES_max,ConOrder_ES_min,ConOrder_ES_median,ConFamily_len,ConFamily_ES,ConFamily_ES_max,ConFamily_ES_min,ConFamily_ES_median,ConGenus_len,ConGenus_ES,ConGenus_ES_max,ConGenus_ES_min,ConGenus_ES_median
0,0,Acetobacterium bakii,Specific Growth Rate,0.1670033172968588,295.342,3.01334455701,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
1,1,Acetobacterium carbinolicum,Specific Growth Rate,1.0449441108909674,,,1,6,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
2,2,Acetobacterium fimetarium,Specific Growth Rate,0.6219443597902614,302.927,3.72813472375,1,6,1.0947049830893003,1.1999774147225709e+17,2.8349754462614785,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
3,3,Acetobacterium paludosum,Specific Growth Rate,0.5094544659144191,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
4,4,Acetobacterium tundrae,Specific Growth Rate,1.4092242472154923,,,1,4,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
5,5,Acetobacterium tundrae,Specific Growth Rate,0.5973863140101492,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
6,6,Acetobacterium z-4092,Specific Growth Rate,0.526031435457055,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
7,7,Acetobacterium z-4290,Specific Growth Rate,0.6426909797261364,302.707,3.80891626253,1,6,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
8,8,Acetobacterium z-4391,Specific Growth Rate,0.16916734730277527,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492,9.0,0.6219443597902614,0.6219443597902614,0.6219443597902614,0.5973863140101492
9,42,Alkaliphilus transvaalensis,Specific Growth Rate,1.0724016819699558,313.8499,22.1338284467,1,7,0.5582592945935981,1.3445308565650154,0.17346413668479702,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,A1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,1.0,1.0724016819699558,1.0724016819699558,1.0724016819699558,1.0724016819699558
