"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
42,"Alkaliphilus transvaalensis","Specific Growth Rate",1.07240168196996,313.8499,22.1338284467,1,7,0.558259294593598,1.34453085656502,0.173464136684797,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Alkaliphilus","A1","Thermophile"
43,"Anabaena bergii","Specific Growth Rate",0.490289714055078,300.05,0.394778154753,1,5,1.46518939046242,0.0476422151231455,0.166073968866164,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
44,"Anabaena macrospora","Specific Growth Rate",0.294851874396931,300.75,0.251088141152,1,5,1.00152304489388,0.0542312651901581,0.0732931549372616,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
45,"Anabaena sp.","Specific Growth Rate",0.469108980343337,307.15,0.922609327886,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
46,"Anabaena sp. pcc7122","Specific Growth Rate",0.493133815479379,307.25,0.402289154489,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
47,"Anabaena spiroides","Specific Growth Rate",0.0100000000007399,310.25,0.400092016342,1,7,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
48,"Anabaena ucrainica","Specific Growth Rate",1.36597469670255,300.75,0.736766060555,1,8,0.809564109337138,0.134294998015148,0.292342256479538,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","PhotosystemII","Mesophile"
49,"Aphanizomenon flosaquae","Specific Growth Rate",0.161855035235532,300.35,0.407910302097,1,5,1.52799573672082,3.71878736921288,0.0425373642200912,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Aphanizomenon","PhotosystemII","Mesophile"
50,"Aphanizomenon gracile","Specific Growth Rate",0.856161882412154,306.85,0.857503843583,1,5,4.28986147818403,10438.6252364215,1.04550572744971,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Aphanizomenon","PhotosystemII","Mesophile"
51,"Aphanizomenon gracile","Specific Growth Rate",0.180567914477585,301.45,0.434984696003,1,5,1.69411158611523,0.0562270816736998,0.0387567307819764,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Aphanizomenon","PhotosystemII","Mesophile"
52,"Aphanizomenon ovalisporum","Specific Growth Rate",0.490428108456304,306.65,0.522320975438,1,6,1.84281016813756,0.791063052074666,0.0612652051697625,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Aphanizomenon","PhotosystemII","Mesophile"
53,"Archaeoglobus veneficus","Specific Growth Rate",1.33152496802797,352.95,16.2412108089,1,4,0.0585067517471408,0.0546578035395476,0.0252300179315644,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","C3","Thermophile"
54,"Bacillus cereus","Specific Growth Rate",0.839543441042991,306.05645001,31.6093187086,1,15,0.868571448761736,160.635926108043,0.0872540899198456,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
55,"Bacillus cereus","Specific Growth Rate",0.73725299833489,313.6388,77.9275572219,1,8,0.414640615473301,3.21527182117684,0.0626593390492418,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
56,"Bacillus cereus","Specific Growth Rate",0.892529896247994,311.6931,66.43867218,1,8,0.665424644283354,9.57963190181121,0.13898611151413,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
57,"Bacillus cereus","Specific Growth Rate",0.874601761812394,310.666,63.0733645899,1,8,0.556536710379595,6.75279895007761,0.109941964406068,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
58,"Bacillus cereus","Specific Growth Rate",1.17443937705354,303.80461,40.6978665423,1,8,0.393862717199877,2.24903668040527,0.114594272628029,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
59,"Bacillus infernus","Specific Growth Rate",1.54651970686793,332.4452,28.4704625638,1,4,0.375145930881996,86.1740362232911,0.195022607876727,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","F14","Thermophile"
60,"Bacillus megaterium","Specific Growth Rate",0.90280327543577,312.70380688,37.6937058533,1,9,0.625077399269825,4.95227233232327,0.182415490615545,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
61,"Bacillus megaterium","Specific Growth Rate",0.678926945560884,321.85909034,45.1929674629,1,6,0.785658647251006,2.88262661965751,0.093119510241776,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
62,"Bacillus megaterium","Specific Growth Rate",0.580488432282157,325.81620367,57.0509735114,1,7,0.410917011086274,3.31807922205447,0.046803323156437,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
63,"Bacillus megaterium","Specific Growth Rate",0.829992042825905,308.85321514,23.9237238758,1,6,0.659618647401813,2.21727913387864,0.110358749186362,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
64,"Bacillus megaterium","Specific Growth Rate",0.99024166462453,337.65112827,102.335374638,1,5,1.66964937908164,260.144708531139,0.281849327750809,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
65,"Bacillus megaterium","Specific Growth Rate",0.36424241890911,315.5275,63.1241644662,1,8,0.314354894983433,1.49201516585468,0.0626155383490954,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
66,"Bacillus sp. a2","Specific Growth Rate",0.550379196335471,340.4851,4.02548603749,1,4,2.8254440927228,2.93477081199631,0.313222015082646,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
67,"Bacillus sp. f70","Specific Growth Rate",1.38590003728325,341.8416,20.7765848044,1,3,2.87900389742121,4.87153852922734,0.423912181516003,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Thermophile"
68,"Bacillus sp. ms30","Specific Growth Rate",1.1230246315745,331.4065,10.7851800052,1,5,0.640842500151314,0.654490268279554,0.178128249605399,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","B10","Thermophile"
70,"Bacillus subtilis","Specific Growth Rate",0.808856521765966,310.90385256,28.4951695959,1,9,0.811320503870264,2.10620899254733,0.168695986417226,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Aerobic","Mesophile"
71,"Blautia producta","Specific Growth Rate",2.22872547830023,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","E1","NA"
72,"Bosea eneae","Specific Growth Rate",0.650284474229452,299.673,0.395981637066,1,9,0.351109655236161,0.0136098355100905,0.0561781907584626,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Aerobic","Mesophile"
73,"Brevibacterium sp.","Specific Growth Rate",3.42389337453082,NA,NA,1,18,NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation","NA"
74,"Brevibacterium sp.","Specific Growth Rate",0.01,NA,NA,1,12,NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation","NA"
