"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
140,"Desulfuromonas michiganensis","Specific Growth Rate",0.676289438857339,355.2048,21.3856766605,1,8,1.3947740662435,12.2540006838765,0.0569482296209706,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","Fermentation","Thermophile"
141,"Desulfuromonas michiganensis","Specific Growth Rate",0.635433407308694,355.6381,21.7847083656,1,8,1.94845903917225,6.65716509548791,0.0904000382525688,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","Fermentation","Thermophile"
142,"Enterococcus faecalis","Specific Growth Rate",0.831820488452122,311.01599,30.3128051354,1,15,1.02725389266747,2.17425978398893,0.121765317776747,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Fermentation","Mesophile"
143,"Erwinia amylovora","Specific Growth Rate",0.702371829970346,301.911563616,15.0368568798,1,8,0.891752622329925,1.80783530044547,0.140475945967943,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","Aerobic","Mesophile"
144,"Escherichia coli","Specific Growth Rate",0.442692597993278,314.90329908,36.4173445053,1,10,0.682954288367979,2.02852226460673,0.0715406572546954,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Thermophile"
145,"Escherichia coli","Specific Growth Rate",1.08290496909488,NA,NA,1,12,8.49365776460619,0.097079215158568,0.102531357441945,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","NA"
146,"Escherichia coli","Specific Growth Rate",1.32947509564856,313.64633,47.4531485033,1,16,0.893980874260502,7.60804836219714,0.157619166774392,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
147,"Escherichia coli","Specific Growth Rate",1.10227876583767,NA,NA,1,7,3.90000000000089,0.0861447005908389,0.0468122258256169,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","NA"
148,"Escherichia coli","Specific Growth Rate",0.594016173436916,310.5556,27.4496999384,1,22,0.366084348204155,1.0238094161637,0.0378722626680229,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
149,"Escherichia coli","Specific Growth Rate",0.848688505578231,312.74078,60.8912949233,1,81,0.186846434271612,1.04435238032204,0.0295110061987183,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
150,"Escherichia coli","Specific Growth Rate",0.833043217973743,314.69582,68.6150404504,1,6,0.820195365589026,12.5723135374173,0.137072538880683,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Thermophile"
151,"Escherichia coli","Specific Growth Rate",0.780069107491656,312.66887,58.3170826072,1,5,0.531329050589301,2.54222985947227,0.0820334688633071,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
152,"Escherichia coli","Specific Growth Rate",0.862484873319415,311.79582,68.4872528855,1,5,0.354913566942794,2.06800380131976,0.0758115036409773,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
153,"Escherichia coli","Specific Growth Rate",1.22713849285985,311.64191,54.1941912636,1,5,0.44040861708201,3.12582644261634,0.125169081436468,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
154,"Escherichia coli","Specific Growth Rate",0.822838120625822,313.16887,70.6229118664,1,6,0.659071659176809,9.15009909477063,0.122281904008605,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
155,"Escherichia coli","Specific Growth Rate",0.702522824895373,312.55,78.4454725323,1,47,0.307352550013894,1.95176943896359,0.036990742058667,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
156,"Escherichia coli","Specific Growth Rate",0.650188721756768,313.16,62.8416704154,1,22,0.374654387402662,1.93487309391568,0.0419343060745145,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
157,"Escherichia coli","Specific Growth Rate",0.654360444658502,313.56,65.844493439,1,22,0.458054047029491,2.24436031382568,0.0511246092342699,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
158,"Escherichia coli","Specific Growth Rate",0.632537428044102,313.86,67.4229691245,1,23,0.515102902340999,2.87102096295864,0.0532741893727254,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Thermophile"
159,"Escherichia coli","Specific Growth Rate",0.642558651241715,313.26,60.761320173,1,22,0.495890865009744,2.45224731469162,0.0531125898929357,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
160,"Escherichia coli","Specific Growth Rate",0.792768081248876,314.46,60.7443783207,1,22,0.290292542101995,2.17540415179117,0.0487093640932479,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Thermophile"
161,"Escherichia coli","Specific Growth Rate",0.943113842409488,314.66,56.4677192108,1,23,0.543648820471575,3.28553309598351,0.0714507173540295,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Thermophile"
162,"Escherichia coli","Specific Growth Rate",0.756121392419618,311.46,85.6068601517,1,43,0.256280920085811,2.02338452015693,0.0437395216855667,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
163,"Escherichia coli","Specific Growth Rate",0.89674182787546,312.76,56.5316081395,1,24,0.619195207999448,6.80207414067956,0.0912796271659192,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
164,"Escherichia coli","Specific Growth Rate",0.734667682992785,313.36,64.2296760794,1,23,0.379723254489458,2.04114835239002,0.0484395401601547,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
165,"Escherichia coli","Specific Growth Rate",0.736302151018297,311.25461827,27.405882938,1,10,0.258679705427446,0.740222781483551,0.0416289563623338,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
166,"Escherichia coli","Specific Growth Rate",0.380311415542199,309.74383144,4.16403430606,1,4,0.689003309135897,0.174494249250996,0.0649859498082384,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
167,"Escherichia coli","Specific Growth Rate",1.02422250079171,311.78849865,22.8086363458,1,10,0.39375113968098,1.02565588440575,0.087912518677934,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
168,"Escherichia coli","Specific Growth Rate",0.609376567813362,312.73971242,12.6555663941,1,9,0.708564080336152,10.5658776726476,0.0656446650910056,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
169,"Escherichia coli","Specific Growth Rate",0.424868209528125,310.85,2.54756496957,1,7,0.313353729832668,0.0478133248750209,0.0319934582391566,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Aerobic","Mesophile"
170,"Ferroglobus placidus","Specific Growth Rate",2.03172988606455,359.2042,6.16700319818,1,3,0.222320286973597,0.104159482807586,0.158236790135792,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","B1","Thermophile"
179,"Fervidobacterium pennivorans","Specific Growth Rate",0.659499748037853,343.4394,6.1877108829,1,5,1.23003181713819,0.718020573246435,0.161237706497907,"Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fermentation","Thermophile"
180,"Flavobacterium limicola","Specific Growth Rate",0.509157538914192,293.32234,2.8906771976,1,4,1.0509012513079,0.18036610461374,0.0662204289487048,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Aerobic","Mesophile"
181,"Flexistipes sinusarabici","Specific Growth Rate",0.726418119556559,320.8338,2.15987633195,1,4,0.764196653578472,0.695189972393818,0.182486241575581,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Flexistipes","Fermentation","Thermophile"
182,"Gelidibacter gilvus","Specific Growth Rate",0.633541028569908,296.70731,3.49814589298,1,27,0.400398551446022,0.154141398982594,0.10199840488768,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gelidibacter","Aerobic","Mesophile"
183,"Gelidibacter sp.","Specific Growth Rate",0.888634630000463,296.08,4.94652985516,1,41,0.233926291810102,0.162595659814255,0.107551744889771,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gelidibacter","Aerobic","Mesophile"
184,"Geobacillus caldotenax","Specific Growth Rate",1.08598948458394,335.67122927,76.1102457149,1,3,0.80225480830931,9.09061625169418,0.276800727638181,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
185,"Geobacillus caldotenax","Specific Growth Rate",1.04613296671623,336.89193945,52.8850706041,1,6,0.449141391991533,2.41132027383463,0.10135249854124,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
186,"Geobacillus caldoxylosilyticus","Specific Growth Rate",0.621095074900709,341.2536,35.2087985781,1,3,0.522184632098766,1.37878509912247,0.0627066641028676,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
187,"Geobacillus stearothermophilus","Specific Growth Rate",1.42430552960547,329.8029,59.5914617982,1,17,0.784019994595587,7.840476449862,0.371289167322163,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
188,"Geobacillus thermodenitrificans","Specific Growth Rate",1.58312622628644,338.9391,50.9529806665,1,5,0.583492930548567,3.49700885893879,0.169038363733822,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
189,"Geobacillus thermoleovorans","Specific Growth Rate",1.00134702099066,345.0403,14.599844776,1,4,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
191,"Geobacillus thermoleovorans","Specific Growth Rate",1.09870045649887,345.2463,30.8375693545,1,4,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Aerobic","Thermophile"
192,"Geogemma barossii","Specific Growth Rate",1.0884849693512,377.148,8.95817551061,1,4,0.889570323246206,0.826563551153503,0.25068837268805,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Geogemma","F3","Thermophile"
193,"Geoglobus ahangari","Specific Growth Rate",2.140161804474,360.7999,3.18143752576,1,5,6.39037918692171,6.98834542173706,0.917477600815753,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Geoglobus","F3","Thermophile"
194,"Glaciecola punicea","Specific Growth Rate",1.11262516573567,292.07844,1.77004886346,1,17,0.259717228200673,0.198721184483459,0.194475866028671,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","Aerobic","Mesophile"
195,"Glaciecola punicea","Specific Growth Rate",0.73793591110325,287.96,2.53693766736,1,17,0.377305656990479,0.232499368155294,0.123554752944097,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","Aerobic","Mesophile"
196,"H1","Specific Growth Rate",0.311927328963364,342.764,9.08565620682,1,4,1.00329530001653,2.31755891731305,0.111603403437333,"Bacteria",NA,NA,NA,NA,NA,"A1","Thermophile"
197,"Halanaerobium alcaliphilum","Specific Growth Rate",1.14560100227022,310.2462,7.15894907485,1,5,2.07018938350838,1.56370907137353,0.517936549316698,"Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Fermentation","Mesophile"
198,"Halanaerobium lacusrosei","Specific Growth Rate",0.538541140126242,315.8826,4.50909321017,1,7,1.13833887490558,3.03570051540871,0.122545106936713,"Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Fermentation","Thermophile"
199,"Haloarcula vallismortis","Specific Growth Rate",0.33298887417626,318.6679,13.332999276,1,12,0.501719353822547,0.275581717292269,0.0300628944662742,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloarcula","Aerobic","Mesophile"
200,"Halobacterium salinarum","Specific Growth Rate",0.332411393932209,NA,NA,1,15,1.07357746303975,15.5837594198641,0.0194783003394004,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Aerobic","NA"
201,"Halobacterium sp. acam32","Specific Growth Rate",1.11321410601424,302.629,0.425976463785,1,19,0.663022624048531,0.0350052837827782,0.191386697233865,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Aerobic","Mesophile"
202,"Halobacterium sp. acam34","Specific Growth Rate",0.894181121991311,308.471,0.591928183976,1,22,0.598462762218859,0.0713900528161811,0.132505544600248,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Aerobic","Mesophile"
203,"Halobaculum gomorrense","Specific Growth Rate",0.384290953711304,317.7195,13.800864808,1,11,0.244805208277984,0.106721249147391,0.0184888922814382,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halobaculum","Aerobic","Mesophile"
204,"Halococcus morrhuae","Specific Growth Rate",0.339207312789468,323.4717,16.7881138435,1,14,0.300293706227821,0.205884917125616,0.0144622573158043,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halococcus","Aerobic","Thermophile"
205,"Haloferax volcanii","Specific Growth Rate",0.346947767924797,317.9307,16.0155060552,1,11,0.259609784099195,0.208106681899186,0.0139047913518475,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Aerobic","Mesophile"
206,"Halogeometricum borinquense","Specific Growth Rate",0.387004897038501,322.7966,16.252800939,1,14,0.209633108072222,0.140855478912276,0.0158070167935852,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halogeometricum","Aerobic","Thermophile"
207,"Halomonas campisalis","Specific Growth Rate",1.17367829012043,305.294,3.58880750077,1,4,1.69611803345934,0.773336654170552,0.543196072692819,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
208,"Halomonas elongata","Specific Growth Rate",0.893373013533707,309.943861109,22.7090901187,1,13,0.266268116754583,0.82410651129619,0.0460313903246667,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
209,"Halomonas elongata","Specific Growth Rate",1.15112476721378,311.67919291,3.19214142011,1,10,0.746608383332734,0.523391444097626,0.181165016771277,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
210,"Halomonas elongata","Specific Growth Rate",0.776674833200533,309.389834329,17.4475274293,1,12,0.18078451261105,0.500201821657838,0.033971080876803,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
211,"Halomonas elongata","Specific Growth Rate",1.05428129922826,NA,NA,1,13,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","NA"
212,"Halomonas halodenitrificans","Specific Growth Rate",0.678738531992281,306.781751533,10.7301500784,1,11,0.504803714328763,0.505580068598283,0.0631490612970348,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
213,"Halomonas halodenitrificans","Specific Growth Rate",0.786813727995917,305.27587195,2.36053473523,1,9,0.412184618830054,0.128340989227798,0.0740252837599799,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
214,"Halomonas halodenitrificans","Specific Growth Rate",0.961241291781057,307.229771973,9.13858060299,1,12,0.755185522398983,1.30849448258465,0.101225565719049,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
215,"Halomonas halodenitrificans","Specific Growth Rate",0.777903017989284,305.42256259,4.56635597861,1,11,0.569733542983163,0.282167092647082,0.0938654697907801,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
216,"Halomonas subglaciescola","Specific Growth Rate",0.892056180504223,291.443,0.0116361462918,1,21,0.354813063457446,0.000541351991259282,0.0882890404146242,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
217,"Halomonas subglaciescola","Specific Growth Rate",1.09874628565354,295.368,0.0238300556539,1,19,0.282165837762186,0.00104721448178086,0.097216733824601,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
218,"Halomonas subglaciescola","Specific Growth Rate",0.907992494551481,294.015,0.0166007366341,1,23,0.244247395073166,0.000521070289384143,0.063912626983311,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
219,"Halomonas subglaciescola","Specific Growth Rate",0.832950154083204,294.983,0.0273804416462,1,21,0.298032867315067,0.00128483172743856,0.0442522548726671,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
220,"Halomonas subglaciescola","Specific Growth Rate",1.06898659904156,NA,NA,1,25,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","NA"
221,"Halomonas subglaciescola","Specific Growth Rate",0.389750058077891,294.768,0.00814175310383,1,13,0.723518717927384,0.000557323433040406,0.0642698369808675,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Aerobic","Mesophile"
222,"Halonatronum saccharophilum","Specific Growth Rate",0.571600037449938,320.1938,5.98158162625,1,7,1.54139347403344,0.730883053758261,0.145607949996029,"Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Halonatronum","Fermentation","Thermophile"
223,"Halorubrum saccharovorum","Specific Growth Rate",0.405366582448192,316.5407,12.417401116,1,11,0.407835150520496,0.193730360971928,0.0331072492452295,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halorubrum","Aerobic","Mesophile"
224,"Haloterrigena turkmenica","Specific Growth Rate",0.302256737352378,323.888,16.7784558868,1,14,0.369173075941437,0.251070237632672,0.0151987565919536,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","Aerobic","Thermophile"
225,"Heliobacillus mobilis","Specific Growth Rate",1.34362454835712,311.498,6.21854681094,1,4,0.201374054932651,0.185672942014063,0.115394896513237,"Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacillus","B9","Mesophile"
226,"Heliobacterium modesticaldum","Specific Growth Rate",0.630619333714666,325.3199,6.43208338822,1,9,0.735819379255441,3.12585682313928,0.0760115640630561,"Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacterium","B9","Thermophile"
227,"Herbaspirillum sp. k1","Specific Growth Rate",0.380892603010724,301.416,0.383619259281,1,11,1.18913248853605,0.238112523225425,0.0718085553356511,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Aerobic","Mesophile"
228,"Hydrogenophaga pseudoflava","Specific Growth Rate",2.58929417917391,NA,NA,1,23,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","A1","NA"
229,"Hydrogenophaga pseudoflava","Specific Growth Rate",0.676672048022588,295.487406093,6.09857342046,1,11,1.19741829640936,5.88342759938632,0.114719021764739,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","A1","Mesophile"
230,"Hydrogenophaga pseudoflava","Specific Growth Rate",0.642436647421396,296.141300886,6.01110252958,1,12,1.41282951776019,108.560845206203,0.104904654755795,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","A1","Mesophile"
231,"Hydrogenophaga pseudoflava","Specific Growth Rate",0.534426086297547,297.528714587,6.08509780038,1,22,1.66020434391315,6.49486690935995,0.10988573687736,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","A1","Mesophile"
232,"Hydrogenophilus hirschii","Specific Growth Rate",0.605484201927603,336.1872,27.0694056324,1,5,0.515704527806496,1.31673690505196,0.116774039752971,"Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus","A1","Thermophile"
233,"Ignicoccus hospitalis","Specific Growth Rate",5.38791015820591,354.8741,16.324447332,1,3,1.1136798862735,3.25353790589439,1.82051775370273,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19","Thermophile"
234,"Ignicoccus islandicus","Specific Growth Rate",1.31753656614724,361.8342,12.3266982054,1,5,0.407374901043346,0.499052744342564,0.170915014267304,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19","Thermophile"
235,"Ignicoccus pacificus","Specific Growth Rate",2.68893638679294,362.6975,20.1474700805,1,3,1.78695628892289,6.49927405056707,1.74560792423613,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19","Thermophile"
236,"Isosphaera pallida","Specific Growth Rate",1.68927916952598,316.5887,1.00144668117,1,4,1.2084162504527,0.187787299400895,0.647214978280956,"Bacteria","Planctomycetes","Planctomycea","Planctomycetales","Planctomycetaceae","Isosphaera","Aerobic","Thermophile"
237,"Klebsiella oxytoca","Specific Growth Rate",0.652657706752977,311.66,82.205406914,1,23,0.345964391231315,2.16993205792176,0.0379786274814424,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Aerobic","Mesophile"
238,"Klebsiella pneumoniae","Specific Growth Rate",0.930944534330354,309.5574,25.9279513274,1,3,0.0533932580013741,0.0691889244077927,0.0135098209962155,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Aerobic","Mesophile"
240,"Lactobacillus acidophilus","Specific Growth Rate",0.505400595222392,314.7861,12.8183795775,1,6,0.24703827638653,0.269081101867065,0.111390570158909,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation","Thermophile"
242,"Lactobacillus delbrueckii","Specific Growth Rate",1.85737310520678,317.1598,26.3566576976,1,10,0.220054538694438,0.661051731196264,0.202470838443152,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation","Thermophile"
244,"Lactobacillus paracasei","Specific Growth Rate",0.947165949310093,307.10125,7.18152574316,1,29,0.140849955626578,0.0774137485888152,0.0343778262123003,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation","Mesophile"
245,"Lactobacillus rhamnosus","Specific Growth Rate",0.649016149228929,315.54888,21.7994786025,1,14,0.319144340385422,0.479958281508458,0.0390333659794288,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation","Thermophile"
247,"Lactococcus lactis","Specific Growth Rate",0.649704240168478,309.5722,22.66274995,1,27,0.220170751917738,0.416116872056912,0.0276801861375315,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Fermentation","Mesophile"
248,"Lactococcus lactis","Specific Growth Rate",0.172049542969232,307.85,27.5092796583,1,3,0.394732176505688,0.766464448351917,0.0754848368107654,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Fermentation","Mesophile"
250,"Lactococcus piscium","Specific Growth Rate",0.724947833349972,296.6043126,19.5881029665,1,5,0.436906905874976,2.16198121115803,0.144492266486886,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Fermentation","Mesophile"
256,"Limnothrix redekei","Specific Growth Rate",0.712305349311068,294.35,0.203914736282,1,6,0.34996804199076,0.668854106127134,0.0927844977586341,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Limnothrix","PhotosystemII","Mesophile"
257,"Limnothrix redekei","Specific Growth Rate",0.834812091492145,296.75,1.37529870763,1,4,0.295784786627101,0.0355900267975511,0.0650955942572928,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Limnothrix","PhotosystemII","Mesophile"
258,"Listeria monocytogenes","Specific Growth Rate",0.705487945317633,308.99697,21.2720520835,1,22,0.38260888646249,0.653131964930675,0.052887573885915,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
259,"Listeria monocytogenes","Specific Growth Rate",0.796006455441192,309.80476,23.9156949797,1,8,0.489873240346452,1.77974220785541,0.0928272369773345,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
260,"Listeria monocytogenes","Specific Growth Rate",0.771054115624544,309.98335,24.0620347907,1,8,0.289878526283059,0.742122672708377,0.0542332541688578,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
261,"Listeria monocytogenes","Specific Growth Rate",0.885791326385697,309.44389,21.349000756,1,8,0.6009654446557,2.52853738262507,0.130342768519081,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
262,"Listeria monocytogenes","Specific Growth Rate",0.756934574837312,309.92535,30.0079589334,1,14,0.852273071119481,4.67897450689465,0.127929286558121,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
